country,country_name,year,Total net production,Imports,Exports,Energy absorbed by pumping,Energy supplied,sum,import rate,export rate,dependence
BE,Belgium,2016,82520,14648,8465,1475,87228,97168,15.07492178,8.711715791,6.363205994
BE,Belgium,2017,82948.5,14189.4,8167.8,1485.4,87484.7,97137.9,14.60748071,8.40845849,6.199022215
BE,Belgium,2018,69212.347,21635.908,4308.347,1347.901,85192.007,90848.255,23.81543597,4.74235526,19.07308071
BG,Bulgaria,2016,41221,4568,10940,918,33931,45789,9.976195156,23.89220118,-13.91600603
BG,Bulgaria,2017,41351.303,3705.423,9185.794,949.527,34921.405,45056.726,8.22390646,20.38717593,-12.16326948
BG,Bulgaria,2018,41705,2223,10030,425,33473,43928,5.060553633,22.83281734,-17.7722637
CZ,Czechia,2016,76398,13817,24791,1570,63854,90215,15.31563487,27.47990911,-12.16427423
CZ,Czechia,2017,79885.766,15072,28108.9,1530.5,65318.366,94957.766,15.87231949,29.60147567,-13.72915618
CZ,Czechia,2018,81967.627,11573.411,25480.503,1372.884,66687.651,93541.038,12.37254925,27.23991902,-14.86736976
DK,Denmark,2016,29077.932,14976.458,9919.365,0,34135.025,44054.39,33.99538162,22.5161783,11.47920332
DK,Denmark,2017,29653.682,15218.109,10655.394,0,34216.397,44871.791,33.91464584,23.74630868,10.16833716
DK,Denmark,2018,28939.089,15633.609,10409.266,0,34163.432,44572.698,35.07440586,23.35345731,11.72094855
DE,Germany,2016,614155,28338,78863,7497,556133,642493,4.410631711,12.27453062,-7.863898906
DE,Germany,2017,619059,27842,80301,8252,558348,646901,4.303904307,12.41318223,-8.109277927
DE,Germany,2018,571799.713,31701.359,80187.327,8347.706,514966.039,603501.072,5.252908482,13.28702313,-8.034114644
EE,Estonia,2016,10424,3577,5614,0,8387,14001,25.54817513,40.09713592,-14.54896079
EE,Estonia,2017,11234,2281,5015,0,8500,13515,16.87754347,37.10691824,-20.22937477
EE,Estonia,2018,10834.143,3053,4949.7,0,8937.443,13887.143,21.98436352,35.64232038,-13.65795686
IE,Ireland,2016,29689.24,871.263,1583.011,532.404,28445.088,30560.503,2.850944567,5.179924558,-2.328979991
IE,Ireland,2017,30086.974,1116.408,1794.91,398.643,29009.829,31203.382,3.57784294,5.752293133,-2.174450193
IE,Ireland,2018,29234.886,1621.519,1649.249,499.328,28707.828,30856.405,5.255048344,5.344916234,-0.08986789
EL,Greece,2016,50227,9833,1037,32,58991,60060,16.37196137,1.726606727,14.64535465
EL,Greece,2017,50589.215,8696,2459,110,56716.215,59285.215,14.66807534,4.147745774,10.52032956
EL,Greece,2018,50708.949,8705.56,2186.68,28.49,57199.339,59414.509,14.65224597,3.680380494,10.97186547
ES,Spain,2016,264344,21845,14178,4819,267192,286189,7.633067658,4.954068815,2.678998843
ES,Spain,2017,264918,23762,14593,3675,270412,288680,8.231259526,5.055078287,3.176181239
ES,Spain,2018,261071.191,24017.905,12915.79,3197.636,268975.67,285089.096,8.424701378,4.530439845,3.894261533
FR,France,2016,540767.954,19903,61404,6723.585,492543.369,560670.954,3.549853949,10.9518782,-7.402024254
FR,France,2017,538042.323,21134,61248,7104.325,490823.998,559176.323,3.779487638,10.95325347,-7.173765832
FR,France,2018,551685.823,12826.095,76094.985,7331.317,481085.616,564511.918,2.272068063,13.47978361,-11.20771555
HR,Croatia,2016,12284,12398,6867,294,17521,24682,50.23093753,27.8218945,22.40904303
HR,Croatia,2017,11522.9,12157.9,5204.2,286.2,18190.4,23680.8,51.34074862,21.9764535,29.36429513
HR,Croatia,2018,13256.54,12692.329,7292.953,118.552,18537.364,25948.869,48.91284086,28.10509005,20.80775081
IT,Italy,2016,279702.622,43181,6154,2468,314261.622,322883.622,13.37354919,1.905949878,11.46759931
IT,Italy,2017,285265.649,42894.881,5134.231,2478.162,320548.137,328160.53,13.07131025,1.564548607,11.50676164
IT,Italy,2018,280234,47179,3270,2233,321910,327413,14.40962943,0.998738596,13.41089083
CY,Cyprus,2016,4667.638,0,0,0,4667.638,4667.638,0,0,0
CY,Cyprus,2017,4778.28,0,0,0,4778.28,4778.28,0,0,0
CY,Cyprus,2018,4791.085,0,0,0,4791.085,4791.085,0,0,0
LV,Latvia,2016,5927,4828,3795,0,6960,10755,44.89074849,35.28591353,9.60483496
LV,Latvia,2017,7024.859,4072.912,4137.077,0,6960.694,11097.771,36.70027071,37.27844988,-0.578179168
LV,Latvia,2018,6500,5172,4264,0,7408,11672,44.31117204,36.53187114,7.779300891
LT,Lithuania,2016,4051,11106,2831,790,11536,15157,73.27307515,18.67783862,54.59523652
LT,Lithuania,2017,3996.1,11926.2,3249,799.1,11874.2,15922.3,74.90249524,20.40534345,54.49715179
LT,Lithuania,2018,3183.095,12847.483,3215.07,726.32,12089.188,16030.578,80.1436043,20.05585825,60.08774606
LU,Luxembourg,2016,2167.69,7718.393,1419.691,1942.514,6523.878,9886.083,78.07331781,14.36050051,63.7128173
LU,Luxembourg,2017,2204.738,7566.69,1388.648,1833.679,6549.101,9771.428,77.43689049,14.21131077,63.22557972
LU,Luxembourg,2018,2164.862,7553.012,1391.674,1717.5,6608.7,9717.874,77.72288466,14.32076604,63.40211861
HU,Hungary,2016,29548,17951,5240,0,42259,47499,37.79237458,11.0318112,26.76056338
HU,Hungary,2017,30676,19803,6925,0,43554,50479,39.23017492,13.71857604,25.51159888
HU,Hungary,2018,29749.879,18613.295,4265.07,0,44098.104,48363.174,38.48650421,8.818838069,29.66766615
MT,Malta,2016,807.16,1525,0,0,2332.16,2332.16,65.3900247,0,65.3900247
MT,Malta,2017,1594.459,897.066,35.699,0,2455.826,2491.525,36.00469592,1.43281725,34.57187867
MT,Malta,2018,1888.398,631.293,10.551,0,2509.14,2519.691,25.05438167,0.418741822,24.63563985
NL,Netherlands,2016,111032.253,24257.626,19343.254,0,115946.625,135289.879,17.93011139,14.29763567,3.632475715
NL,Netherlands,2017,113465.034,22457.715,18951.503,0,116971.246,135922.749,16.52241083,13.94284852,2.579562307
NL,Netherlands,2018,112551.371,24018,18157,0,118412.371,136569.371,17.58666663,13.29507478,4.291591853
AT,Austria,2016,64860.87,26366.16,19206.889,4253.498,67766.643,91227.03,28.90169723,21.05394531,7.847751922
AT,Austria,2017,67690.162,29362.427,22816.512,5610.607,68625.47,97052.589,30.25414088,23.50943157,6.744709304
AT,Austria,2018,65587.792,28076.136,19129.33,5116.052,69418.546,93663.928,29.97539885,20.42336939,9.552029464
PL,Poland,2016,152003,14017,12018,744,153258,166020,8.44295868,7.238886881,1.204071799
PL,Poland,2017,154869.344,13271,10984,734.88,156421.464,168140.344,7.892811258,6.532637997,1.360173261
PL,Poland,2018,154096.5,13815.803,8121.301,660.599,159130.403,167912.303,8.22798732,4.836632489,3.391354831
PT,Portugal,2016,58862.052,4616,9701,1520,52257.052,63478.052,7.271804749,15.28244755,-8.010642797
PT,Portugal,2017,57668.978,5505.732,8189.704,2223.899,52761.107,63174.71,8.71508868,12.96357989,-4.248491208
PT,Portugal,2018,58085,5668,8326,1565,53862,63753,8.890562013,13.05977758,-4.169215566
RO,Romania,2016,60256,4177,9194,660,54579,64433,6.482702963,14.26908572,-7.786382754
RO,Romania,2017,59355.43,4841.754,7735.38,466.424,55995.38,64197.184,7.542003712,12.04940703,-4.507403315
RO,Romania,2018,58722,3695,6239,0,56178,62417,5.919861576,9.995674255,-4.075812679
SI,Slovenia,2016,15546,8359,9535,373,13997,23905,34.96758,39.88705292,-4.919472914
SI,Slovenia,2017,15396.876,9132.532,9648.192,365.3,14515.916,24529.408,37.23095152,39.33316287,-2.102211354
SI,Slovenia,2018,15284.254,8930.238,9432.404,252.435,14529.653,24214.492,36.87972475,38.95354897,-2.073824221
SK,Slovakia,2016,24997,13249,10598,334,27314,38246,34.64153114,27.71008733,6.931443811
SK,Slovakia,2017,25692,15563,12535,418,28302,41255,37.72391225,30.38419586,7.339716398
SK,Slovakia,2018,23717,12427,8746,401,26997,36144,34.38191678,24.19765383,10.18426295
FI,Finland,2016,66200,22110,3159,0,85151,88310,25.03680217,3.577171328,21.45963085
FI,Finland,2017,65038,22204,1779,0,85463,87242,25.45104422,2.039155453,23.41188877
FI,Finland,2018,67423.674,22548,2611,0,87360.674,89971.674,25.06122093,2.902024475,22.15919646
SE,Sweden,2016,152531,14287,26022,170,140626,166818,8.564423503,15.59903608,-7.034612572
SE,Sweden,2017,160526,11896,30888,36,141498,172422,6.899351591,17.91418728,-11.01483569
SE,Sweden,2018,158287.088,14441.815,31671.103,56.301,141001.499,172728.903,8.360971875,18.33572868,-9.974756801
UK,NA,2016,324274.434,20017.923,2272.866,4014.34,338005.151,344292.357,5.814222301,0.660155811,5.15406649
UK,NA,2017,323439.536,18166.98,3407.049,3859.19,334340.277,341606.516,5.318101134,0.997360659,4.320740474
UK,NA,2018,317375.629,21332.415,2224.764,3390.866,333092.414,338708.044,6.298171944,0.656838253,5.641333691
NO,Norway,2016,149067,5740,22151,1427,131229,154807,3.707842669,14.30878449,-10.60094182
NO,Norway,2017,148642,6111,21276,1653,131824,154753,3.948873366,13.74836029,-9.799486924
NO,Norway,2018,146845.187,8339.724,18488.911,1021.492,135674.508,155184.911,5.374055987,11.91411644,-6.540060457
ME,Montenegro,2016,3023,1210,906,0,3327,4233,28.58492795,21.4032601,7.181667848
ME,Montenegro,2017,2363.8,1536.9,416.7,0,3484,3900.7,39.4006204,10.68269798,28.71792242
ME,Montenegro,2018,3743,7106,868,0,9981,10849,65.49912434,8.000737395,57.49838695
MK,North Macedonia,2016,5284.253,2190.606,159.853,0,7315.006,7474.859,29.30631869,2.138542011,27.16777668
MK,North Macedonia,2017,5226.865,2293.571,311.026,0,7209.41,7520.436,30.49784614,4.135744257,26.36210188
MK,North Macedonia,2018,5203.736,7261.253,5341.489,0,7123.5,12464.989,58.25318418,42.85193513,15.40124905
AL,Albania,2016,7136,0,42,0,7094,7136,0,0.588565022,-0.588565022
AL,Albania,2017,4497.807,2914.628,0,0,7412.435,7412.435,39.32079,0,39.32079
AL,Albania,2018,8596.537,1771.742,2685.047,0,7683.232,10368.279,17.08810112,25.89674718,-8.808646064
RS,Serbia,2016,36628,5068,6990,1029,33677,41696,12.15464313,16.764198,-4.609554873
RS,Serbia,2017,34298.552,6549.189,5724.139,938.05,34185.552,40847.741,16.03317305,14.01335511,2.019817938
RS,Serbia,2018,35241.186,6400.007,6293.513,1067.938,34279.742,41641.193,15.36941317,15.11367121,0.255741952
TR,Turkey,2016,261937,6330,1452,0,266815,268267,2.359589513,0.541251813,1.818337701
TR,Turkey,2017,284257.519,2728.268,3303.673,0,283682.114,286985.787,0.950663107,1.151162584,-0.200499476
TR,Turkey,2018,289282.578,2466.008,3073.58,0,288675.006,291748.586,0.845251055,1.053502964,-0.208251909
BA,Bosnia & Herzegovina,2016,16609,3084,6841,0,12852,19693,15.66038694,34.73823186,-19.07784492
BA,Bosnia & Herzegovina,2017,15239,3346,5187,266,13132,18585,18.00376648,27.90960452,-9.905838041
BA,Bosnia & Herzegovina,2018,7502.427,1487.586,3820.822,50.591,5118.6,8990.013,16.54709509,42.50073943,-25.95364434
UA,Ukraine,2016,151889,77,3830,1633,146503,151966,0.050669229,2.520300594,-2.469631365
UA,Ukraine,2017,144905.8,50,5226,1574.2,138155.6,144955.8,0.034493273,3.605236907,-3.570743634
UA,Ukraine,2018,159072.5,1587,4639.3,0,156020.2,160659.5,0.987803398,2.887659927,-1.899856529
GE,Georgia,2016,11365,1329,1409,0,11285,12694,10.46951316,11.09973216,-0.630219001
GE,Georgia,2017,11315.8,1751.2,939.7,0,12127.3,13067,13.40169894,7.191398179,6.210300758
GE,Georgia,2018,12148.514,1522.2,602.038,214.946,12853.73,13670.714,11.13475126,4.403851913,6.730899352